group_id,l0,FXX,VEL,GRIT,VICE,DISH: ESPN,NBAT,SPK,REVOLT,TRU,FUSE,LOGO,DISH: NFLN,HIST,TRAV,FX,NHL,FS1,HLN,COM,TLC,TBS
0,2.80738991819572,,,,,,,,,,,,,,,,,,,,,
1,,7.46902654867257,8.72083333333333,11.3284132841328,13.7933333333333,67.8333333333333,21.84375,8.56709956709957,19.2233375156838,12.6095238095238,27.6706948640483,22.4186046511628,18.7608695652174,24.5217391304348,23.2178217821782,59.8363636363636,19.8557692307692,22.5882352941176,35.8595505617977,22.7536231884058,18.5135135135135,24.1559633027523
2,8.96296296296296,,,,,,,,,,,,,,,,,,,,,
3,,7.62458471760797,11.3383084577114,9.87543252595156,9.28248587570621,37.95,11.144578313253,,15.1795511221945,10.5295315682281,14.9366197183099,14.9238578680203,30.6904761904762,38.6190476190476,19.3684210526316,,19.948275862069,24.7286821705426,40.7689075630252,31.2,52.5072463768116,
4,12.5,,,,,,,,,,,,,,,,,,,,,
5,,4.86084169857151,9.87248322147651,8.91627906976744,9.58048780487805,38.563829787234,11.1152073732719,,15.190537084399,,17.2273730684327,11.3636363636364,,55.5906735751295,21.6530612244898,,29.3174603174603,27.2027972027972,53.7456896551724,27.0555555555556,12.75,
6,3.18506091044847,,,,,,,,,,,,,,,,,,,,,
7,,8.24632352941176,9.78282828282828,9.56172839506173,9.40853658536585,,47.7894736842105,,12.6313131313131,,12.570796460177,10.5155807365439,,66.9245283018868,,,24.3718309859155,,,23.6857142857143,,
8,12.3333333333333,,,,,,,,,,,,,,,,,,,,,
9,,3.38027055039815,8.804,9.64,9.51260504201681,,17.8823529411765,,10.622972972973,,11.1451612903226,12.821052631579,,,,,25.5939905691423,,,,,
10,3.76188340943537,,,,,,,,,,,,,,,,13.1683168316832,,,,,
11,,6.40740740740741,14.0486223662885,9.04501607717042,11.8543689320388,,19.4363143631436,,10.5824175824176,,10.7096774193548,,,,,,,,,,,
12,8.957805907173,,,,,,,,,,,,,,,,,,,,,
13,,6.60869565217391,15.2688927943761,11.5688073394495,48.1269841269841,,15.4404494382023,,14.8603351955307,,15.4848484848485,,,,,,,,,,,
14,4.22145699038279,,,,,,,,,,,,,,,,,,,,,
15,,10.4384858044164,16.5333333333333,,25.7443609022556,,17.5414572864322,,,,,,,,,,,,,,,
16,8.76533333333333,,,,,,,,,,,,,,,,,,,,,
17,,13.9421157684631,14.4385474860335,,16.5952380952381,,16.38772845953,,,,,,,,,,,,,,,
18,3.25908163605113,,,,,,,,,,,,,,,,,,,,,
19,,13.2688821752266,15.5897858319605,,13.6830502601737,,16.3926380368098,,,,,,,,,,,,,,,
20,9.29577464788732,,,,,,,,,,,,,,,,,,,,,
21,,12.8620689655172,,,22.5848142164782,,15.890044576523,,,,,,,,,,,,,,,
22,5.35027880912955,,,,,,,,,,,,,,,,,,,,,
23,,12.6816720257235,,,19.4140752864157,,19.8031609195402,,,,,,,,,,,,,,,
24,3.32123045070413,,,,,,,,,,,,,,,,,,,,,
25,,,,,25.6994906621392,,25.4487734487734,,,,,,,,,,,,,,,
26,8.91666666666667,,,,,,,,,,,,,,,,,,,,,
27,,,,,21.2261904761905,,22.8897742363878,,,,,,,,,,,,,,,
28,4.84354365055456,,,,,,,,,,,,,,,,,,,,,
29,,,,,26.1866913123845,,26.2979066022544,,,,,,,,,,,,,,,
30,6.54348565979613,,,,,,,,,,,,,,,,,,,,,
31,,,,,27.6312056737589,,26.9465517241379,,,,,,,,,,,,,,,
32,6.03504113473414,,,,,,,,,,,,,,,,,,,,,
33,,,,,,,37.8761061946903,,,,,,,,,,,,,,,
34,5.2435762075732,,,,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,,,,,,
36,4.54578031359168,,,,,,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,,,,,,,,
38,4.62506717336416,,,,,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,,,,,,,
40,4.30285094578991,,,,,,,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,,,,,,,,
42,4.64147343627294,,,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,,,
44,6.18557895228784,,,,,,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,,,,,,,,
46,14.093023255814,,,,,,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,,,,,,
48,5.15906998867477,,,,,,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,,,,,,,,
50,5.31481439970871,,,,,,,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,,,,,,,,
52,5.27494120372896,,,,,,,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,,,,,,,,
54,4.66672938958937,,,,,,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,,,,,,,,
56,9.81787305583739,,,,,,,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,,,,,,,,
58,6.69379278787728,,,,,,,,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,,,,,,,,,
60,20.5912698412698,,,,,,,,,,,,,,,,,,,,,
61,,,,,,,,,,,,,,,,,,,,,,
62,6.8981734289388,,,,,,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,,,,,,,
64,7.65939920254381,,,,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,,,,,,
66,9.00750947764182,,,,,,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,,,,,,,
68,21.1666666666667,,,,,,,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,,,,,,,,
